index,x,y
truck0,72.06384284837324,57.75626043405676
truck1,112.75506445672193,58.06677796327212
truck2,237.31368937998772,55.272120200333895
truck3,338.57581338244324,42.230383973288816
truck4,377.0926949048496,37.57262103505843
truck5,444,112.5
truck6,56.22222222222222,129.48580968280467
truck7,113.0656844689994,131.03839732888147
truck8,164.62860650705954,130.41736227045075
truck9,218.6764886433395,145.63272120200335
truck10,336.71209330877844,130.1068447412354
truck11,323.9766728054021,109.61268781302171
truck12,224.57826887661142,93.7762938230384
truck13,102.50460405156538,208.35726210350586
truck14,150.65070595457337,222.64106844741238
truck15,210.60036832412524,207.11519198664442
truck16,298.50583179864947,205.56260434056762
truck17,310.62001227747083,222.02003338898166
truck18,364.6678944137508,222.64106844741238
truck19,431.1405770411296,207.11519198664442
truck20,469.9680785758134,206.80467445742906
truck21,438.59545733578886,147.80634390651085
truck22,356.2811540822591,145.63272120200335
truck23,128.59668508287294,263.9398998330551
truck25,23.607120933087785,338.1535893155259
truck26,121.14180478821363,337.2220367278798
truck27,173.94720687538367,340.3272120200334
truck28,224.88888888888889,335.97996661101837
truck29,296.0208717004297,350.8848080133556
truck30,332.05279312461636,352.12687813021705
truck31,397.90423572744015,353.05843071786313
truck32,487.0521792510743,379.1419031719533
truck33,393.24493554327813,377.2787979966611
truck34,337.9545733578883,395.28881469115197
truck35,288.8766114180479,385.35225375626044
truck36,303.16513198281154,414.85141903171956
truck37,209.35788827501537,398.3939899833055
truck38,112.44444444444444,397.7729549248748
truck39,49.699201964395336,497.7595993322204
truck40,118.65684468999386,479.4390651085142
truck41,217.4340085942296,477.8864774624374
truck42,276.1411909146716,476.95492487479135
truck43,290.42971147943524,506.7646076794658
truck45,395.4192756292204,495.27545909849755
truck46,394.487415592388,524.4641068447413
truck48,489.5371393492941,507.0751252086812
truck49,492.64333947206876,479.7495826377296
truck50,60.881522406384285,535.9532554257096
truck51,111.8232044198895,536.8848080133556
truck52,241.9729895641498,281.94991652754595
truck53,209.35788827501537,280.0868113522538
truck54,320.5598526703499,273.5659432387312
truck44,315.5899324739104,295.92320534223705
truck47,296.3314917127072,323.559265442404
truck55,387.0325352977287,454.5976627712855
truck56,404.11663597298957,294.3706176961603
